date,title,address
2024/5/10,教育部吉林大学单一来源采购高分辨二次离子质谱仪附件征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240510_22062081.htm
2024/5/10,教育部复旦大学单一来源采购彭博金融数据库征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240510_22060911.htm
2024/5/9,国家消防救援局单一来源采购森林脑炎灭活疫苗征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240509_22052494.htm
2024/5/9,国家发展和改革委员会单一来源采购国家发展改革委互联网信息系统设备托管和机房保障项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240509_22048476.htm
2024/5/8,教育部电子科技大学单一来源采购Elsevier数字资源征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240508_22040027.htm
2024/5/8,教育部电子科技大学单一来源采购SpringerNature数字资源征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240508_22040026.htm
2024/5/8,中国气象局西藏自治区气象局单一来源采购气象信息处理费-通信线路租赁服务征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240508_22040025.htm
2024/5/8,教育部华北电力大学单一来源采购Elsevier出版集团ScienceDirect期刊全文数据库征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240508_22040024.htm
2024/5/8,应急管理部应急管理部机关服务中心单一来源采购本部办公区电话语音通信租赁服务项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240508_22033329.htm
2024/5/8,教育部华北电力大学单一来源采购智能变电站继电保护实验平台征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240508_22032638.htm
2024/5/7,交通运输部大连海事大学单一来源采购ElsevierScienceDirect数据库服务征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240507_22026376.htm
2024/5/7,教育部中国矿业大学（徐州）单一来源采购教育部中国矿业大学单一来源采购ElsevierScienceDirect数据库征求意见公示征求,http://www.ccgp.gov.cn/eadylynotice/202405/t20240507_22025365.htm
2024/5/7,中国地质调查局中国地质科学院地质研究所单一来源采购纳米离子探针征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240507_22025364.htm
2024/5/7,教育部东北大学单一来源采购Wiley数据库（2024）征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240507_22025363.htm
2024/5/7,应急管理部单一来源采购中小油气储存企业评估整治提升专家指导服务（现场指导、培训）征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240507_22019610.htm
2024/5/7,中国科学院中国科学院高能物理研究所单一来源采购大尺寸光敏探头征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240507_22019609.htm
2024/5/7,人力资源和社会保障部单一来源采购手机通讯就业大数据平台项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240507_22019608.htm
2024/5/6,中国气象局中国气象局气象宣传与科普中心单一来源采购2024年基层气象台站配书项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240506_22010865.htm
2024/5/6,中国证券监督管理委员会中国证监会深圳专员办单一来源采购办公用房租赁项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202405/t20240506_22008294.htm
2024/4/30,中央广播电视总台单一来源采购国际长途专线-北京至伦敦电路租用征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202404/t20240430_21980940.htm
2024/2/23,教育部复旦大学单一来源采购SciFinder数据库（2024）征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240223_21561082.htm
2024/2/23,工业和信息化部山西省通信管理局单一来源采购山西省电信网省际出入口通讯信息诈骗防范拦截系统（二期）服务费项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240223_21561081.htm
2024/2/23,交通运输部交通运输部路网监测与应急处置中心单一来源采购交通运输部路网监测与应急处置中心业务用房及办公用房租赁项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240223_21561080.htm
2024/2/23,教育部重庆大学单一来源采购ElsevierScienceDirect（简称SD）数据库征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240223_21561079.htm
2024/2/23,中华全国总工会工人日报社单一来源采购“向中小企业农民工和职业院校师生赠阅《工人日报》”配送服务项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240223_21559512.htm
2024/2/23,国家体育总局体操运动管理中心单一来源采购体操、艺术体操器材采购征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240223_21559513.htm
2024/2/22,中华全国妇女联合会中国妇女儿童博物馆单一来源采购物业管理-共用设备设施管理服务项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240222_21554323.htm
2024/2/21,中国地震局中国地震台网中心单一来源采购国家地震烈度速报与预警承载网信道租赁单一来源采购项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240221_21550409.htm
2024/2/21,中国福利彩票发行管理中心本级单一来源采购2024年摇奖设备购置项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240221_21550410.htm
2024/2/21,教育部北京化工大学单一来源采购SciFinder数据库（2024）征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240221_21550408.htm
2024/2/21,中国福利彩票发行管理中心本级单一来源采购业务楼共用设备设施及公共区域物业管理项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240221_21550407.htm
2024/2/20,教育部北京大学单一来源采购爱思唯尔ScienceDirect电子期刊数据库征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240220_21549067.htm
2024/2/20,中国福利彩票发行管理中心本级单一来源采购《国家彩票》宣传服务项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240220_21546677.htm
2024/2/7,中国科学院中国科学院大气物理研究所单一来源采购冰核计数器PINE采购征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240207_21527613.htm
2024/2/6,教育部山东大学单一来源采购心磁图仪征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240206_21522919.htm
2024/2/6,中国科学院中国科学院苏州纳米技术与纳米仿生研究所单一来源采购高温氮化物MOCVD（旧）征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240206_21522920.htm
2024/2/6,自然资源部自然资源部第三海洋研究所单一来源采购爆炸声源(声弹声源)采购项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240206_21521285.htm
2024/2/5,国家统计局数据管理中心单一来源采购国家统计局全国时间利用调查系统升级改造服务项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240205_21516956.htm
2024/2/5,教育部中国药科大学单一来源采购中国药科大学2024年度Elsevier出版集团电子资源采购项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240205_21516955.htm
2024/2/5,教育部中国药科大学单一来源采购中国药科大学2024年度科睿唯安集团数据库采购项目征求意见公示,http://www.ccgp.gov.cn/eadylynotice/202402/t20240205_21516954.htm
